Title,Company,Reward,Link
"Front End 개발자(React, Next.js )",에이프로코리아,합격보상금 100만원,https://www.wanted.co.kr/wd/217015
"프론트엔드 개발자 (React, Next.js) (2년차 이상)",더자람컴퍼니,합격보상금 100만원,https://www.wanted.co.kr/wd/174824
React / Next.js 웹개발자 (2년 이상),다이노즈,합격보상금 100만원,https://www.wanted.co.kr/wd/208965
프론트엔드 웹 개발자 React.js / Next.js (1~3년),클라우드호스피탈,합격보상금 100만원,https://www.wanted.co.kr/wd/207121
"Next.JS, Nest.JS 기반 프론트개발 팀원",오마이브랜드,합격보상금 100만원,https://www.wanted.co.kr/wd/218467
"프론트 개발자 (React Native, Nextjs)",금방,합격보상금 100만원,https://www.wanted.co.kr/wd/215918
프론트엔드 개발자 (React / Next.js),피지엠파트너스,합격보상금 100만원,https://www.wanted.co.kr/wd/210639
"Global 서비스 Front-end 개발 (React, Next.js)",SOOP,합격보상금 100만원,https://www.wanted.co.kr/wd/126671
"Front End 개발자(React, Next.js )",에이프로코리아,합격보상금 100만원,https://www.wanted.co.kr/wd/217015
"프론트엔드 개발자 (React, Next.js) (2년차 이상)",더자람컴퍼니,합격보상금 100만원,https://www.wanted.co.kr/wd/174824
React / Next.js 웹개발자 (2년 이상),다이노즈,합격보상금 100만원,https://www.wanted.co.kr/wd/208965
프론트엔드 웹 개발자 React.js / Next.js (1~3년),클라우드호스피탈,합격보상금 100만원,https://www.wanted.co.kr/wd/207121
"Next.JS, Nest.JS 기반 프론트개발 팀원",오마이브랜드,합격보상금 100만원,https://www.wanted.co.kr/wd/218467
"프론트 개발자 (React Native, Nextjs)",금방,합격보상금 100만원,https://www.wanted.co.kr/wd/215918
프론트엔드 개발자 (React / Next.js),피지엠파트너스,합격보상금 100만원,https://www.wanted.co.kr/wd/210639
"Global 서비스 Front-end 개발 (React, Next.js)",SOOP,합격보상금 100만원,https://www.wanted.co.kr/wd/126671
"[400억↑투자] Back-end 개발자 (Node.js, React, Express, Next.js), 병특",딥브레인에이아이,합격보상금 100만원,https://www.wanted.co.kr/wd/107946
